date,season,city,tmin,tmax,tavg,precipitation,wind_speed,humidity,pressure
5/29/2000,Spring,Gilgit,16,24.7,20.2,9.6,4,65,1015.7
5/30/2000,Spring,Gilgit,14.8,22.1,17.9,18.9,2.5,79,1016.4
5/31/2000,Spring,Gilgit,14.6,21.8,17.6,10.8,2.3,77,1015.5
6/1/2000,Summer,Gilgit,11.9,23.1,18,6.2,2.3,76,1013.3
6/2/2000,Summer,Gilgit,13.5,23.3,18.7,13.1,3.4,75,1014.5
6/3/2000,Summer,Gilgit,14.4,21.8,17.7,29.1,3.3,80,1013.1
6/4/2000,Summer,Gilgit,12.6,22.1,17.4,3.7,2.5,71,1013.8
6/5/2000,Summer,Gilgit,9.3,22.3,17.4,1,2.5,67,1014.1
6/6/2000,Summer,Gilgit,13.7,23.9,19.5,2.1,2.7,69,1013.8
6/7/2000,Summer,Gilgit,12.7,24,19,4.3,2.3,77,1012.7
6/8/2000,Summer,Gilgit,13.5,24.6,19.4,8.3,2.1,78,1008.2
6/9/2000,Summer,Gilgit,17,21.7,18.8,14,1.5,79,1011.7
6/10/2000,Summer,Gilgit,15.4,19.2,17.2,5.4,2.6,81,1012.6
6/11/2000,Summer,Gilgit,9.3,24.1,17.6,0.6,2.6,77,1012.2
6/12/2000,Summer,Gilgit,14.6,28,21.7,0,2.7,51,1011.1
6/13/2000,Summer,Gilgit,14,28,22.4,0,2.6,47,1010
6/14/2000,Summer,Gilgit,20.3,27.9,24.3,2.3,2.9,59,1009.5
6/15/2000,Summer,Gilgit,19.3,29.3,24.9,2.1,3.1,62,1009.7
6/16/2000,Summer,Gilgit,18.2,29.2,24.6,1.8,3.3,58,1009.7
6/17/2000,Summer,Gilgit,19.4,29.2,25.2,0.9,3,53,1010
6/18/2000,Summer,Gilgit,18.6,29.6,25.6,0.9,3.1,57,1008.4
6/19/2000,Summer,Gilgit,19.6,28.4,25.3,2.8,3.6,64,1008
6/20/2000,Summer,Gilgit,20.2,27.7,23.9,4.8,3.9,67,1009.5
6/21/2000,Summer,Gilgit,18.7,25.9,22.1,11.3,2,75,1010.4
